Domain,IP,Traceroute
ya.ru,5.255.255.242,| Трассировка маршрута к 5.255.255.242 с максимальным числом прыжков 30 |  |   1     2 ms     3 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    50 ms    33 ms    37 ms  172.31.0.0  |   5    64 ms    64 ms    35 ms  100.65.27.5  |   6    23 ms    28 ms    28 ms  100.65.28.1  |   7    24 ms    25 ms    19 ms  100.65.27.10  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    52 ms    24 ms    23 ms  172.31.0.4  |  10    25 ms    25 ms    37 ms  100.65.30.1  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    31 ms    34 ms    20 ms  100.65.30.3  |  13    28 ms    33 ms    22 ms  100.65.30.33  |  14    27 ms    21 ms    25 ms  195.239.223.37  |  15   116 ms   107 ms   122 ms  195.239.223.36  |  16    90 ms    67 ms    66 ms  79.104.235.213  |  17    75 ms    64 ms    65 ms  195.239.153.234  |  18    71 ms    68 ms    71 ms  93.158.160.117  |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21    72 ms    72 ms    69 ms  5.255.255.242  |  | Трассировка завершена. |
ya.ru,77.88.44.242,| Трассировка маршрута к 77.88.44.242 с максимальным числом прыжков 30 |  |   1    14 ms     2 ms     2 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    25 ms    21 ms    22 ms  172.31.0.0  |   5    34 ms    31 ms    22 ms  100.65.27.5  |   6    53 ms    20 ms    25 ms  100.65.28.1  |   7    82 ms    30 ms    58 ms  100.65.27.8  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    42 ms    29 ms    26 ms  172.31.0.4  |  10    24 ms    21 ms    21 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    59 ms    19 ms    26 ms  100.65.30.23  |  13    38 ms    17 ms    24 ms  100.65.30.49  |  14    33 ms    22 ms    26 ms  195.239.223.37  |  15    47 ms    34 ms    29 ms  195.239.223.36  |  16    63 ms    70 ms    68 ms  79.104.235.213  |  17    90 ms    81 ms    69 ms  195.239.153.234  |  18    66 ms    69 ms    70 ms  93.158.160.167  |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21    71 ms    74 ms    63 ms  77.88.44.242  |  | Трассировка завершена. |
ya.ru,77.88.55.242,| Трассировка маршрута к 77.88.55.242 с максимальным числом прыжков 30 |  |   1     3 ms    15 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    30 ms    18 ms    19 ms  172.31.0.6  |   5    37 ms    36 ms    20 ms  100.65.27.19  |   6    53 ms    33 ms    17 ms  100.65.28.2  |   7    29 ms    21 ms    25 ms  100.65.27.8  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    45 ms    22 ms    25 ms  172.31.0.4  |  10    21 ms    50 ms    35 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    24 ms    25 ms    23 ms  100.65.30.23  |  13    23 ms    22 ms    29 ms  100.65.30.49  |  14    21 ms    32 ms    29 ms  195.239.223.37  |  15    26 ms    58 ms    16 ms  195.239.223.36  |  16    81 ms    65 ms    72 ms  79.104.235.215  |  17    73 ms    65 ms    62 ms  195.239.153.234  |  18    94 ms    95 ms    79 ms  87.250.239.179  |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21    85 ms    80 ms    80 ms  77.88.55.242  |  | Трассировка завершена. |
yandex.ru,77.88.55.88,| Трассировка маршрута к 77.88.55.88 с максимальным числом прыжков 30 |  |   1     2 ms     2 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    81 ms    19 ms    26 ms  172.31.0.6  |   5    24 ms    40 ms    20 ms  100.65.27.17  |   6   231 ms    28 ms    39 ms  100.65.28.1  |   7    52 ms    49 ms   149 ms  100.65.27.10  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    26 ms    28 ms    27 ms  172.31.0.4  |  10    25 ms    50 ms    70 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    30 ms    33 ms    37 ms  100.65.30.3  |  13    64 ms    26 ms    24 ms  100.65.30.33  |  14    80 ms    41 ms    32 ms  195.239.223.37  |  15    51 ms    41 ms    22 ms  195.239.223.36  |  16    86 ms    86 ms    85 ms  79.104.235.215  |  17    79 ms    74 ms    75 ms  195.239.153.234  |  18    83 ms    85 ms    75 ms  87.250.239.45  |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21    74 ms    71 ms    79 ms  77.88.55.88  |  | Трассировка завершена. |
yandex.ru,5.255.255.77,| Трассировка маршрута к 5.255.255.77 с максимальным числом прыжков 30 |  |   1     2 ms     2 ms     2 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4   176 ms   101 ms    32 ms  172.31.0.6  |   5    20 ms    18 ms    16 ms  100.65.27.19  |   6    80 ms    21 ms    24 ms  100.65.28.2  |   7    27 ms    29 ms    40 ms  100.65.27.10  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    30 ms    21 ms    21 ms  172.31.0.4  |  10    26 ms    21 ms    20 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    70 ms    22 ms    19 ms  100.65.30.23  |  13    51 ms    25 ms    37 ms  100.65.30.49  |  14    31 ms    23 ms    22 ms  195.239.56.253  |  15    38 ms    29 ms    20 ms  195.239.56.252  |  16    74 ms    78 ms    61 ms  79.104.235.213  |  17    62 ms    69 ms    66 ms  195.239.153.234  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20    78 ms    76 ms   175 ms  5.255.255.77  |  | Трассировка завершена. |
yandex.ru,77.88.44.55,| Трассировка маршрута к 77.88.44.55 с максимальным числом прыжков 30 |  |   1     2 ms     2 ms     2 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    22 ms    25 ms    28 ms  172.31.0.6  |   5    27 ms    19 ms    20 ms  100.65.27.17  |   6    63 ms    22 ms    15 ms  100.65.28.1  |   7    20 ms    22 ms    23 ms  100.65.27.22  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    22 ms    24 ms    26 ms  172.31.0.8  |  10    46 ms    22 ms    28 ms  100.65.30.1  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    19 ms    28 ms    16 ms  100.65.30.3  |  13    19 ms    17 ms    30 ms  100.65.30.33  |  14    32 ms    22 ms    32 ms  195.239.56.253  |  15   107 ms    98 ms   111 ms  195.239.56.252  |  16   109 ms   100 ms    65 ms  79.104.235.213  |  17    70 ms    62 ms    72 ms  195.239.153.234  |  18    63 ms    63 ms    85 ms  93.158.160.220  |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21    76 ms    71 ms    68 ms  77.88.44.55  |  | Трассировка завершена. |
mail.ru,90.156.232.4,| Трассировка маршрута к 90.156.232.4 с максимальным числом прыжков 30 |  |   1     2 ms     2 ms     2 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    38 ms    27 ms    64 ms  172.31.0.6  |   5    48 ms    22 ms    18 ms  100.65.27.17  |   6    25 ms    25 ms    24 ms  100.65.28.1  |   7    26 ms    24 ms    35 ms  100.65.27.10  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    35 ms    25 ms    82 ms  172.31.0.4  |  10    33 ms    23 ms    24 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    28 ms    46 ms    27 ms  100.65.30.23  |  13    37 ms    24 ms    34 ms  100.65.30.49  |  14    28 ms    31 ms    33 ms  195.239.56.253  |  15    31 ms    25 ms    25 ms  195.239.56.252  |  16    86 ms    69 ms    81 ms  79.104.235.131  |  17    65 ms    70 ms    74 ms  82.142.138.26  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22     *        *        *     Превышен интервал ожидания для запроса. |  23   187 ms   211 ms   192 ms  90.156.232.4  |  | Трассировка завершена. |
mail.ru,185.180.201.1,| Трассировка маршрута к 185.180.201.1 с максимальным числом прыжков 30 |  |   1     3 ms     1 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4   240 ms    27 ms    18 ms  172.31.0.0  |   5    19 ms    23 ms    15 ms  100.65.27.7  |   6    23 ms    24 ms    23 ms  100.65.28.2  |   7    41 ms    40 ms    56 ms  100.65.27.10  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    41 ms    39 ms    28 ms  172.31.0.4  |  10    32 ms    50 ms    33 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    18 ms    91 ms    26 ms  100.65.30.3  |  13    28 ms    25 ms    25 ms  100.65.30.33  |  14    35 ms    30 ms    33 ms  195.239.223.37  |  15    41 ms    24 ms    30 ms  195.239.223.36  |  16    87 ms    68 ms    75 ms  79.104.235.123  |  17   106 ms    70 ms    67 ms  82.142.138.26  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22     *        *        *     Превышен интервал ожидания для запроса. |  23   190 ms   217 ms   245 ms  185.180.201.1  |  | Трассировка завершена. |
mail.ru,89.221.239.1,| Трассировка маршрута к 89.221.239.1 с максимальным числом прыжков 30 |  |   1   179 ms     1 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    36 ms    21 ms    34 ms  172.31.0.6  |   5    23 ms    54 ms    24 ms  100.65.27.19  |   6    41 ms    34 ms    39 ms  100.65.28.2  |   7    53 ms    51 ms    32 ms  100.65.27.10  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    47 ms    25 ms    24 ms  172.31.0.4  |  10    45 ms    30 ms    20 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    90 ms    27 ms    29 ms  100.65.30.23  |  13    29 ms    22 ms    25 ms  100.65.30.49  |  14    22 ms    24 ms    26 ms  195.239.56.253  |  15   111 ms    27 ms    24 ms  195.239.56.252  |  16    69 ms    94 ms    78 ms  79.104.235.123  |  17    97 ms    67 ms    69 ms  82.142.138.26  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22     *        *        *     Превышен интервал ожидания для запроса. |  23   138 ms   171 ms   187 ms  89.221.239.1  |  | Трассировка завершена. |
rambler.ru,81.19.82.1,| Трассировка маршрута к 81.19.82.1 с максимальным числом прыжков 30 |  |   1     2 ms     1 ms     4 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    24 ms    23 ms    38 ms  172.31.0.0  |   5    29 ms    22 ms    30 ms  100.65.27.7  |   6    43 ms    35 ms    24 ms  100.65.28.2  |   7    26 ms    15 ms    19 ms  100.65.27.8  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    43 ms    27 ms    43 ms  172.31.0.4  |  10    42 ms    18 ms    46 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    40 ms    19 ms    31 ms  100.65.30.23  |  13    28 ms    19 ms    28 ms  100.65.30.49  |  14    44 ms   121 ms    21 ms  195.239.223.37  |  15    27 ms    29 ms    33 ms  195.239.223.36  |  16    84 ms    69 ms    70 ms  79.104.227.43  |  17    69 ms    73 ms    71 ms  213.33.141.170  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21    96 ms    75 ms    76 ms  81.19.82.1  |  | Трассировка завершена. |
rambler.ru,81.19.82.0,| Трассировка маршрута к 81.19.82.0 с максимальным числом прыжков 30 |  |   1     2 ms     1 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    56 ms    42 ms    30 ms  172.31.0.6  |   5    35 ms    57 ms    69 ms  100.65.27.19  |   6    52 ms    30 ms    33 ms  100.65.28.2  |   7    71 ms    36 ms    27 ms  100.65.27.10  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    82 ms    28 ms    29 ms  172.31.0.4  |  10    32 ms    34 ms   142 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    86 ms    23 ms    26 ms  100.65.30.23  |  13    31 ms    18 ms    67 ms  100.65.30.49  |  14    32 ms    27 ms    27 ms  195.239.223.37  |  15    44 ms    19 ms    29 ms  195.239.223.36  |  16    70 ms    83 ms    86 ms  79.104.226.43  |  17    69 ms    72 ms    74 ms  213.33.141.170  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22    70 ms    84 ms    76 ms  81.19.82.0  |  | Трассировка завершена. |
rambler.ru,81.19.82.2,| Трассировка маршрута к 81.19.82.2 с максимальным числом прыжков 30 |  |   1     2 ms     2 ms     5 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    31 ms    39 ms    23 ms  172.31.0.6  |   5    48 ms    84 ms    27 ms  100.65.27.17  |   6    30 ms    42 ms    32 ms  100.65.28.1  |   7    87 ms    39 ms    39 ms  100.65.27.8  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    39 ms    20 ms    31 ms  172.31.0.4  |  10    34 ms    30 ms    30 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    43 ms    39 ms    31 ms  100.65.30.3  |  13    20 ms    40 ms    26 ms  100.65.30.33  |  14    32 ms    22 ms    45 ms  195.239.56.253  |  15    42 ms    23 ms    29 ms  195.239.56.252  |  16    87 ms    81 ms    69 ms  79.104.226.43  |  17    92 ms    88 ms    84 ms  213.33.141.170  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22    92 ms    77 ms    92 ms  81.19.82.2  |  | Трассировка завершена. |
vk.com,87.240.132.67,| Трассировка маршрута к 87.240.132.67 с максимальным числом прыжков 30 |  |   1     2 ms     1 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    27 ms    50 ms    32 ms  172.31.0.6  |   5    64 ms    32 ms    50 ms  100.65.27.17  |   6    93 ms    53 ms   104 ms  100.65.28.1  |   7    71 ms    44 ms    41 ms  100.65.27.22  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9   194 ms    83 ms   131 ms  172.31.0.8  |  10    29 ms    34 ms    38 ms  100.65.30.1  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    49 ms    57 ms    63 ms  100.65.30.3  |  13    37 ms   118 ms    26 ms  100.65.30.33  |  14    75 ms    38 ms    39 ms  195.239.56.253  |  15    44 ms   104 ms    30 ms  195.239.56.252  |  16    78 ms    92 ms    93 ms  79.104.229.99  |  17    96 ms    87 ms    81 ms  213.221.63.170  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22    79 ms    90 ms    73 ms  87.240.132.67  |  | Трассировка завершена. |
vk.com,87.240.132.78,| Трассировка маршрута к 87.240.132.78 с максимальным числом прыжков 30 |  |   1     2 ms     3 ms     2 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    37 ms    19 ms    29 ms  172.31.0.0  |   5    39 ms    27 ms    31 ms  100.65.27.7  |   6    36 ms    44 ms    39 ms  100.65.28.2  |   7    37 ms    36 ms    35 ms  100.65.27.22  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    29 ms    20 ms   748 ms  172.31.0.8  |  10   112 ms    37 ms    48 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    26 ms    27 ms    33 ms  100.65.30.3  |  13    45 ms    51 ms    35 ms  100.65.30.33  |  14    86 ms    27 ms    42 ms  195.239.56.253  |  15    27 ms    30 ms    49 ms  195.239.56.252  |  16    94 ms    98 ms    83 ms  79.104.229.99  |  17    94 ms    80 ms    77 ms  213.221.63.170  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22    73 ms    75 ms    93 ms  87.240.132.78  |  | Трассировка завершена. |
