Domain,IP,Traceroute
vk.com,93.186.225.194,| Трассировка маршрута к 93.186.225.194 с максимальным числом прыжков 30 |  |   1     7 ms     1 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    34 ms    21 ms    35 ms  172.31.0.6  |   5    37 ms    23 ms    28 ms  100.65.27.17  |   6    27 ms    31 ms    33 ms  100.65.28.1  |   7    29 ms    40 ms    32 ms  100.65.27.22  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    30 ms    22 ms    21 ms  172.31.0.8  |  10    49 ms    18 ms    25 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    27 ms    23 ms    18 ms  100.65.30.23  |  13    66 ms    69 ms    19 ms  100.65.30.49  |  14    36 ms    29 ms    36 ms  195.239.56.253  |  15    50 ms    27 ms    24 ms  195.239.56.252  |  16    82 ms    73 ms    77 ms  79.104.229.97  |  17    69 ms    73 ms    75 ms  213.221.63.170  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22    81 ms    78 ms    78 ms  93.186.225.194  |  | Трассировка завершена. |
vk.com,87.240.137.164,| Трассировка маршрута к 87.240.137.164 с максимальным числом прыжков 30 |  |   1     2 ms     2 ms     2 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    17 ms    23 ms    21 ms  172.31.0.6  |   5    43 ms    25 ms    32 ms  100.65.27.17  |   6    24 ms    27 ms    22 ms  100.65.28.1  |   7    57 ms    23 ms    37 ms  100.65.27.20  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    27 ms    34 ms    25 ms  172.31.0.8  |  10    40 ms    26 ms    59 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    62 ms    34 ms    25 ms  100.65.30.3  |  13    26 ms    55 ms    30 ms  100.65.30.33  |  14    36 ms    37 ms    64 ms  195.239.223.37  |  15    30 ms    35 ms    24 ms  195.239.223.36  |  16   117 ms    72 ms    79 ms  79.104.229.97  |  17    92 ms    83 ms    75 ms  213.221.63.170  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22    71 ms    86 ms    76 ms  87.240.137.164  |  | Трассировка завершена. |
vk.com,87.240.132.72,| Трассировка маршрута к 87.240.132.72 с максимальным числом прыжков 30 |  |   1     3 ms     1 ms     3 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    20 ms    26 ms   113 ms  172.31.0.0  |   5   106 ms   165 ms   138 ms  100.65.27.5  |   6    30 ms    19 ms    44 ms  100.65.28.1  |   7   107 ms    33 ms    22 ms  100.65.27.20  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    25 ms    37 ms    74 ms  172.31.0.8  |  10    26 ms    39 ms    43 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    54 ms    28 ms    25 ms  100.65.30.3  |  13    54 ms    31 ms    39 ms  100.65.30.33  |  14    58 ms    32 ms    40 ms  195.239.223.37  |  15    33 ms    48 ms    46 ms  195.239.223.36  |  16    74 ms   101 ms    86 ms  79.104.229.97  |  17   143 ms    89 ms    81 ms  213.221.59.222  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22    82 ms    83 ms    79 ms  87.240.132.72  |  | Трассировка завершена. |
vk.com,87.240.129.133,| Трассировка маршрута к 87.240.129.133 с максимальным числом прыжков 30 |  |   1     5 ms     1 ms     2 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    31 ms    20 ms    19 ms  172.31.0.0  |   5    22 ms    29 ms    48 ms  100.65.27.7  |   6    34 ms    38 ms    27 ms  100.65.28.2  |   7    22 ms    24 ms    25 ms  100.65.27.8  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    25 ms    51 ms    37 ms  172.31.0.4  |  10    19 ms    22 ms    34 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    53 ms    26 ms    26 ms  100.65.30.3  |  13    72 ms    19 ms    26 ms  100.65.30.33  |  14    26 ms    24 ms    33 ms  195.239.223.37  |  15    41 ms    33 ms    33 ms  195.239.223.36  |  16   100 ms    70 ms    76 ms  79.104.229.41  |  17   156 ms    80 ms    93 ms  213.33.247.230  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22   132 ms    93 ms   135 ms  87.240.129.133  |  | Трассировка завершена. |
ok.ru,95.163.61.73,| Трассировка маршрута к 95.163.61.73 с максимальным числом прыжков 30 |  |   1     2 ms     1 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    37 ms    45 ms    24 ms  172.31.0.6  |   5    67 ms    40 ms    41 ms  100.65.27.17  |   6    24 ms    21 ms    37 ms  100.65.28.1  |   7    32 ms    37 ms    24 ms  100.65.27.10  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    45 ms    25 ms    46 ms  172.31.0.4  |  10    66 ms    19 ms    20 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    33 ms    25 ms    32 ms  100.65.30.23  |  13   160 ms    39 ms    22 ms  100.65.30.49  |  14    21 ms    22 ms    23 ms  195.239.56.253  |  15    32 ms    29 ms    27 ms  195.239.56.252  |  16    82 ms    72 ms    78 ms  79.104.235.123  |  17    84 ms    74 ms    77 ms  82.142.138.26  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21    71 ms    86 ms    84 ms  95.163.61.73  |  | Трассировка завершена. |
ok.ru,95.163.61.74,| Трассировка маршрута к 95.163.61.74 с максимальным числом прыжков 30 |  |   1     2 ms     1 ms     2 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    25 ms    25 ms    27 ms  172.31.0.0  |   5    23 ms    45 ms    32 ms  100.65.27.7  |   6    31 ms    22 ms    24 ms  100.65.28.2  |   7    33 ms    28 ms    23 ms  100.65.27.20  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    45 ms    40 ms    39 ms  172.31.0.8  |  10    25 ms    38 ms    30 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    39 ms    39 ms    21 ms  100.65.30.3  |  13    32 ms    45 ms    25 ms  100.65.30.33  |  14    34 ms    35 ms   121 ms  195.239.223.37  |  15    28 ms    35 ms    21 ms  195.239.223.36  |  16    78 ms    77 ms    65 ms  79.104.235.131  |  17   312 ms    66 ms   101 ms  82.142.138.26  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22     *        *        *     Превышен интервал ожидания для запроса. |  23    83 ms    68 ms    64 ms  95.163.61.74  |  | Трассировка завершена. |
avito.ru,176.114.122.24,| Трассировка маршрута к 176.114.122.24 с максимальным числом прыжков 30 |  |   1    45 ms     5 ms     2 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    29 ms    30 ms    24 ms  172.31.0.6  |   5    25 ms    22 ms    27 ms  100.65.27.19  |   6    45 ms    52 ms    53 ms  100.65.28.2  |   7    27 ms    25 ms    17 ms  100.65.27.10  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    37 ms    25 ms    22 ms  172.31.0.4  |  10    45 ms    53 ms    27 ms  100.65.30.1  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    35 ms    34 ms    31 ms  100.65.30.3  |  13    23 ms    29 ms    19 ms  100.65.30.33  |  14    27 ms    23 ms    24 ms  195.239.223.37  |  15    26 ms    25 ms    30 ms  195.239.223.36  |  16    65 ms    69 ms    68 ms  79.104.235.123  |  17   135 ms    72 ms    76 ms  62.105.157.143  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22     *        *        *     Превышен интервал ожидания для запроса. |  23     *        *        *     Превышен интервал ожидания для запроса. |  24     *        *        *     Превышен интервал ожидания для запроса. |  25     *        *        *     Превышен интервал ожидания для запроса. |  26     *        *        *     Превышен интервал ожидания для запроса. |  27     *        *        *     Превышен интервал ожидания для запроса. |  28     *        *        *     Превышен интервал ожидания для запроса. |  29     *        *        *     Превышен интервал ожидания для запроса. |  30     *        *        *     Превышен интервал ожидания для запроса. |  | Трассировка завершена. |
avito.ru,176.114.120.24,| Трассировка маршрута к 176.114.120.24 с максимальным числом прыжков 30 |  |   1     4 ms     2 ms     2 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    24 ms    30 ms    21 ms  172.31.0.6  |   5    31 ms    31 ms    28 ms  100.65.27.17  |   6    25 ms    20 ms    21 ms  100.65.28.1  |   7    22 ms    26 ms    24 ms  100.65.27.20  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    26 ms    24 ms    24 ms  172.31.0.8  |  10    34 ms    21 ms    25 ms  100.65.30.1  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    32 ms    29 ms    29 ms  100.65.30.23  |  13    20 ms    44 ms    17 ms  100.65.30.49  |  14    20 ms    20 ms    20 ms  195.239.56.253  |  15    28 ms    29 ms    22 ms  195.239.56.252  |  16    80 ms   134 ms    70 ms  79.104.235.131  |  17    74 ms    69 ms   130 ms  62.105.157.143  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22     *        *        *     Превышен интервал ожидания для запроса. |  23     *        *        *     Превышен интервал ожидания для запроса. |  24     *        *        *     Превышен интервал ожидания для запроса. |  25     *        *        *     Превышен интервал ожидания для запроса. |  26     *        *        *     Превышен интервал ожидания для запроса. |  27     *        *        *     Превышен интервал ожидания для запроса. |  28     *        *        *     Превышен интервал ожидания для запроса. |  29     *        *        *     Превышен интервал ожидания для запроса. |  30     *        *        *     Превышен интервал ожидания для запроса. |  | Трассировка завершена. |
avito.ru,176.114.124.24,| Трассировка маршрута к 176.114.124.24 с максимальным числом прыжков 30 |  |   1    15 ms     2 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    28 ms    19 ms    27 ms  172.31.0.6  |   5    58 ms   134 ms    31 ms  100.65.27.19  |   6    28 ms    26 ms    42 ms  100.65.28.2  |   7    40 ms    25 ms    36 ms  100.65.27.22  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    24 ms    31 ms    24 ms  172.31.0.8  |  10    28 ms    24 ms    31 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    22 ms    23 ms    24 ms  100.65.30.3  |  13    52 ms    21 ms    23 ms  100.65.30.33  |  14    33 ms    27 ms    40 ms  195.239.56.253  |  15     *      121 ms    22 ms  195.239.56.252  |  16    69 ms    76 ms   157 ms  79.104.235.123  |  17    71 ms    68 ms    69 ms  62.105.157.143  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22     *        *        *     Превышен интервал ожидания для запроса. |  23     *        *        *     Превышен интервал ожидания для запроса. |  24     *        *        *     Превышен интервал ожидания для запроса. |  25     *        *        *     Превышен интервал ожидания для запроса. |  26     *        *        *     Превышен интервал ожидания для запроса. |  27     *        *        *     Превышен интервал ожидания для запроса. |  28     *        *        *     Превышен интервал ожидания для запроса. |  29     *        *        *     Превышен интервал ожидания для запроса. |  30     *        *        *     Превышен интервал ожидания для запроса. |  | Трассировка завершена. |
ozon.ru,185.73.193.68,| Трассировка маршрута к 185.73.193.68 с максимальным числом прыжков 30 |  |   1     4 ms     1 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    41 ms    16 ms    27 ms  172.31.0.0  |   5    39 ms    19 ms    38 ms  100.65.27.5  |   6    20 ms    20 ms    33 ms  100.65.28.1  |   7    24 ms    22 ms    24 ms  100.65.27.22  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    21 ms    24 ms    28 ms  172.31.0.8  |  10    42 ms    26 ms    28 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    23 ms    25 ms    22 ms  100.65.30.23  |  13   115 ms    60 ms    26 ms  100.65.30.49  |  14    37 ms   121 ms    33 ms  195.239.223.37  |  15    24 ms    25 ms    27 ms  195.239.223.36  |  16    89 ms    65 ms    71 ms  79.104.225.217  |  17    67 ms    77 ms    73 ms  62.141.90.37  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22     *        *        *     Превышен интервал ожидания для запроса. |  23    77 ms    69 ms    62 ms  185.73.193.68  |  24    85 ms    65 ms    63 ms  185.73.193.68  |  | Трассировка завершена. |
ozon.ru,185.73.194.82,| Трассировка маршрута к 185.73.194.82 с максимальным числом прыжков 30 |  |   1     3 ms     2 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4   107 ms    19 ms    19 ms  172.31.0.6  |   5    28 ms    19 ms    24 ms  100.65.27.19  |   6    24 ms    23 ms    24 ms  100.65.28.2  |   7    38 ms    26 ms    24 ms  100.65.27.22  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    29 ms    41 ms    27 ms  172.31.0.8  |  10    36 ms    27 ms    25 ms  100.65.30.17  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    24 ms    27 ms    26 ms  100.65.30.3  |  13    20 ms    30 ms    22 ms  100.65.30.33  |  14    31 ms    25 ms    29 ms  195.239.223.37  |  15    29 ms    24 ms    23 ms  195.239.223.36  |  16    74 ms    67 ms    69 ms  79.104.225.219  |  17    73 ms    72 ms    65 ms  62.141.90.37  |  18     *        *        *     Превышен интервал ожидания для запроса. |  19     *        *        *     Превышен интервал ожидания для запроса. |  20     *        *        *     Превышен интервал ожидания для запроса. |  21     *        *        *     Превышен интервал ожидания для запроса. |  22     *        *        *     Превышен интервал ожидания для запроса. |  23    68 ms    68 ms    70 ms  185.73.194.82  |  24    71 ms    67 ms    73 ms  185.73.194.82  |  | Трассировка завершена. |
wildberries.ru,185.62.202.2,| Трассировка маршрута к 185.62.202.2 с максимальным числом прыжков 30 |  |   1     2 ms     1 ms     1 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    41 ms    35 ms    27 ms  172.31.0.0  |   5    31 ms    26 ms    30 ms  100.65.27.5  |   6    46 ms    24 ms    23 ms  100.65.28.1  |   7    29 ms    40 ms    26 ms  100.65.27.22  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    28 ms    28 ms    26 ms  172.31.0.8  |  10    44 ms    27 ms    26 ms  100.65.30.1  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    23 ms    25 ms    23 ms  100.65.30.3  |  13    28 ms    27 ms    24 ms  100.65.30.33  |  14    23 ms    27 ms    24 ms  195.239.223.37  |  15    29 ms    22 ms    24 ms  195.239.223.36  |  16    65 ms   139 ms    64 ms  79.104.225.9  |  17    63 ms    70 ms    78 ms  194.186.254.15  |  18    84 ms    71 ms    67 ms  185.62.202.2  |  | Трассировка завершена. |
wikipedia.org,185.15.59.224,| Трассировка маршрута к 185.15.59.224 с максимальным числом прыжков 30 |  |   1     1 ms     4 ms     3 ms  192.168.42.116  |   2     *        *        *     Превышен интервал ожидания для запроса. |   3     *        *        *     Превышен интервал ожидания для запроса. |   4    38 ms    57 ms    24 ms  172.31.0.0  |   5    27 ms    29 ms    25 ms  100.65.27.7  |   6    28 ms    29 ms    28 ms  100.65.28.2  |   7    24 ms    38 ms    38 ms  100.65.27.10  |   8     *        *        *     Превышен интервал ожидания для запроса. |   9    70 ms    27 ms    26 ms  172.31.0.4  |  10    25 ms    26 ms    27 ms  100.65.30.1  |  11     *        *        *     Превышен интервал ожидания для запроса. |  12    21 ms    33 ms    30 ms  100.65.30.23  |  13   153 ms    26 ms    27 ms  100.65.30.49  |  14     *       30 ms    25 ms  195.239.56.253  |  15    27 ms    24 ms    31 ms  195.239.56.252  |  16   111 ms   109 ms   111 ms  79.104.225.146  |  17   122 ms   123 ms   127 ms  80.249.209.176  |  18   125 ms   120 ms   125 ms  185.15.59.157  |  19   124 ms   140 ms   121 ms  185.15.59.224  |  | Трассировка завершена. |
